2017-05-21,BTC,XRP,ETH,XEM,LTC,DASH,ETC,XLM,XMR,BCN,STEEM,SC,BTS,DOGE,GNT,GNO,STRAT,GAME,REP,WAVES,MAID,DGD,ZEC,ARDR,SNGLS,ROUND,DGB,DCR,ICN,FCT,LSK,NXT,BCC,USDT,PIVX,SYS,GBYTE,ANT,PPC,KMD,1ST,EMC,RLC,MLN,NEO,SJCX,NMC,LKK,BTCD,XCP,NAV,NXS,NLG,POT,BURST,XAUR,BAY,AMP,WINGS,TKN,EXP,BLK,ARK,BCAP,EAC,TRST,GUP,EDG,OMNI,YBC,GRC,TIME,MONA,LBC,BLOCK,RADS,HMQ,VTC,IOC,AGRS,CLAM,DICE,SWT,XZC,NXC,CRB,PEPECASH,UBQ,HEAT,BCY,VSL,FLO,VIA,B@,OBITS,CRW,GOLOS,VASH,IFC
2017-05-28,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,BCN,GNT,XLM,DOGE,ZEC,STRAT,WAVES,REP,GNO,STEEM,SC,BTS,MAID,DGD,GAME,LSK,ROUND,DGB,FCT,USDT,DCR,BCC,ARDR,SNGLS,ICN,PIVX,ANT,1ST,SYS,GBYTE,NXT,NEO,KMD,RLC,PPC,LKK,MLN,RDD,EMC,SJCX,BTCD,XAUR,UBQ,TKN,XCP,WINGS,NLG,ARK,NXS,NMC,TRST,EAC,EDG,YBC,BCAP,AMP,GUP,NAV,POT,HMQ,IFC,SWT,BURST,BAY,AGRS,PEPECASH,BLOCK,EXP,BLK,LBC,XVG,TIME,MONA,NXC,VTC,ECN,B@,IOC,DICE,XZC,WCT,GRC,XDN,TIPS,TAAS,UNY,MGC,RADS,OMNI,HEAT,CLAM
2017-06-04,BTC,ETH,XRP,XEM,ETC,LTC,DASH,STRAT,XMR,WAVES,BCN,DGB,SC,GNT,XLM,DOGE,ZEC,STEEM,REP,GNO,GAME,BTS,BAT,MAID,BCC,DCR,DGD,GBYTE,LSK,FCT,ARDR,KMD,SNGLS,ICN,USDT,ROUND,PIVX,SYS,1ST,ANT,UBQ,RLC,NXT,RDD,NEO,BTCD,WINGS,XVG,ARK,SJCX,PPC,LKK,EMC,XDN,MLN,XAUR,XCP,NLG,OMNI,MCAP,AMP,BURST,TRST,NMC,BLOCK,NXS,TKN,TAAS,EDG,XBY,NAV,GUP,SWT,LBC,BAY,EAC,EDR,UNITY,EXP,HMQ,YBC,SHIFT,BCAP,BLK,POT,OBITS,NXC,GRC,TIME,AGRS,UNY,XZC,MOON,B@,IFC,IOC,BASH,GOLOS,VTC
2017-06-11,BTC,ETH,XRP,XEM,ETC,LTC,DASH,BTS,STRAT,XMR,BCN,WAVES,STEEM,ZEC,GNT,SC,XLM,DOGE,LSK,REP,BCC,DGB,GNO,GAME,MAID,FCT,DGD,DCR,BAT,GBYTE,ARDR,ICN,KMD,SNGLS,ANT,USDT,NXT,ROUND,SYS,1ST,BTCD,ARK,UBQ,NEO,PIVX,RDD,WINGS,SJCX,RLC,MLN,LKK,XVG,PPC,NXS,EMC,AMP,XCP,LBC,SWT,XDN,NLG,GRC,TRST,OMNI,NOTE,BLK,QRL,MCAP,GUP,UNITY,NMC,MOON,BAY,HMQ,EXP,VTC,XAUR,BURST,EDR,BLOCK,BCAP,XZC,TAAS,EAC,OBITS,NAV,YBC,NXC,IOC,EDG,POT,CLOAK,RADS,TKN,SHIFT,MONA,VIA,UNY,IFC
2017-06-18,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,BTS,STRAT,XMR,ZEC,BCN,WAVES,GNT,STEEM,SC,XLM,DOGE,BCC,REP,LSK,GNO,FCT,DGB,GAME,MAID,KMD,BAT,ARDR,ICN,GBYTE,DGD,NEO,DCR,NXT,VERI,SNGLS,USDT,BTCD,ANT,MGO,SYS,1ST,ROUND,PIVX,UBQ,ARK,EMC,LKK,RDD,QRL,PPC,RLC,WINGS,MLN,LEO,SJCX,XVG,NXS,LBC,MYST,XCP,MCAP,NLG,AMP,XZC,OBITS,PPY,BLK,UNITY,XAUR,NMC,HMQ,GRC,OMNI,TRST,XDN,YBC,BAY,VTC,VSL,POT,MOON,BURST,EXP,NAV,GUP,EDR,QAU,TAAS,IOC,EDG,TKN,EAC,DICE,SWT,VOX,XBY
2017-06-25,BTC,ETH,XRP,LTC,ETC,XEM,MIOTA,DASH,BTS,STRAT,XMR,ZEC,GNT,BCN,STEEM,WAVES,SC,ICN,XLM,BCC,LSK,DOGE,REP,NEO,GAME,FCT,ARDR,GNO,MAID,DGB,DCR,KMD,GBYTE,BAT,NXT,DGD,NMR,VERI,1ST,MGO,USDT,SNGLS,SYS,BTCD,PIVX,ANT,UBQ,EMC,MCAP,PPC,ARK,ROUND,PPY,LKK,RLC,RDD,SJCX,QRL,MLN,XAS,LBC,WINGS,AMP,NMC,NXS,LEO,XCP,BLK,XVG,EDG,BAY,OMNI,MYST,VIA,XZC,NLG,BURST,VTC,CLOAK,UNITY,MONA,EAC,CFI,XAUR,BLOCK,DICE,GRC,OBITS,YBC,NAV,TRST,POT,VSL,HMQ,GUP,EXP,TKN,BASH,EDR
2017-07-02,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,BTS,STRAT,ZEC,BCN,STEEM,NEO,GNT,WAVES,BCC,SC,GNO,ICN,REP,DOGE,LSK,XLM,USDT,GBYTE,MAID,GAME,FCT,ARDR,VERI,KMD,DGD,DCR,SNT,DGB,NXT,BAT,PIVX,1ST,BNT,SNGLS,MCAP,MGO,BTCD,SYS,ANT,LKK,NMR,PPC,EMC,UBQ,LEO,ARK,ROUND,NXS,XAS,RDD,RLC,EDG,MLN,CLOAK,MONA,OBITS,XVG,XEL,AMP,WINGS,NMC,SJCX,LBC,QRL,VSL,NLG,XAUR,BAY,XCP,DICE,BLK,VIA,XZC,MYST,PPY,BURST,OMNI,HMQ,VTC,BLOCK,YBC,QAU,TKN,AGRS,EAC,GRC,STORJ,TRST,EDR,SKY
2017-07-09,BTC,ETH,XRP,LTC,ETC,DASH,XEM,MIOTA,XMR,STRAT,BTS,EOS,ZEC,BCC,WAVES,STEEM,NEO,VERI,GNO,GNT,BCN,SC,ICN,DOGE,REP,LSK,XLM,USDT,MAID,FCT,GBYTE,DCR,GAME,SNT,ARDR,KMD,DGB,DGD,PIVX,MCAP,NXT,PAY,BAT,BNT,1ST,SNGLS,MGO,BTCD,ANT,DCT,SYS,ARK,EDG,PPC,UBQ,LKK,XVG,LEO,EMC,FUN,ROUND,RDD,NXS,XAS,NMC,WINGS,MONA,MLN,SJCX,SOAR,NMR,CLOAK,RLC,LBC,DICE,OMNI,BAY,NLG,DBIX,DRACO,XEL,XAUR,XCP,PPY,QRL,BLOCK,STORJ,VSL,XZC,AMP,HMQ,BLK,OBITS,VIA,SKY,SLS,YBC,POT,UNITY
2017-07-16,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,MIOTA,STRAT,USDT,EOS,BCC,ZEC,BTS,NEO,BCN,STEEM,QTUM,VERI,WAVES,REP,XLM,GNO,SC,GNT,DOGE,LSK,ICN,GBYTE,MAID,FCT,DCR,MCAP,DGD,DGB,GAME,SNT,PIVX,KMD,ARDR,BAT,1ST,NXT,BNT,LKK,PAY,SNGLS,ANT,MTL,PPT,CHC,MGO,OMG,BTCD,LEO,DCT,FUN,PPC,SYS,EMC,NXS,ARK,ROUND,EDG,XVG,UBQ,RDD,XAUR,SOAR,NLG,MLN,NMC,DICE,MONA,NMR,XAS,PPY,WINGS,RLC,CLOAK,EDR,SJCX,SIB,SKY,QAU,QRL,BLOCK,XCP,STORJ,LBC,DAXX,OBITS,OMNI,HMQ,BAY,YBC,POT,VSL
2017-07-23,BTC,ETH,XRP,LTC,XEM,ETC,DASH,MIOTA,XMR,STRAT,VERI,BTS,EOS,NEO,BCC,ZEC,STEEM,WAVES,QTUM,USDT,ICN,BCN,SNT,SC,GNT,GNO,XLM,REP,LSK,DOGE,GBYTE,FCT,MAID,GAME,DCR,ARDR,DGB,NXT,KMD,BAT,PIVX,DGD,MCAP,PPT,BDL,OMG,PAY,BNT,MTL,1ST,SNGLS,ANT,MGO,BTCD,SYS,LKK,ARK,CVC,COE,DCT,UBQ,PPC,FUN,LEO,XVG,PART,EMC,NMR,EDG,NXS,XAS,WINGS,ROUND,RDD,LBC,RLC,STORJ,BLOCK,NMC,PPY,DICE,MONA,MLN,XCP,XAUR,QRL,HMQ,VSL,NLG,BAY,VIA,FAIR,SIB,AMP,CLOAK,BLK,POT,OMNI,SKY
2017-07-30,BTC,ETH,XRP,LTC,XEM,DASH,ETC,MIOTA,XMR,STRAT,EOS,BCC,NEO,ZEC,BTS,QTUM,USDT,STEEM,VERI,WAVES,ICN,SC,BCN,GNO,LSK,GNT,REP,DOGE,SNT,XLM,GBYTE,DCR,FCT,DGB,MAID,GAME,DGD,OMG,ARDR,MCAP,BAT,PPT,PIVX,NXT,KMD,PAY,MGO,MTL,BNT,BTCD,LKK,SNGLS,BDL,1ST,SYS,CVC,ANT,ETP,ARK,DCT,LEO,FUN,NXS,PPC,UBQ,PART,XVG,DICE,BLOCK,EDG,EMC,XAS,PPY,ROUND,NMR,PLR,RDD,VSL,RLC,WINGS,EDR,HMQ,LBC,MLN,NMC,XAUR,STORJ,NLG,MONA,XCP,VIA,COE,BAY,ION,SIB,POT,UNITY,OMNI,CLOAK
2017-08-06,BTC,ETH,XRP,BCH,LTC,XEM,ETC,DASH,MIOTA,XMR,NEO,STRAT,QTUM,BCC,EOS,WAVES,BTS,ZEC,STEEM,USDT,OMG,VERI,GNT,SC,ICN,XLM,BCN,LSK,GNO,PAY,DOGE,GBYTE,SNT,REP,FCT,DGB,GAME,DCR,MAID,BAT,PPT,NXT,ARDR,MCAP,DGD,PIVX,KMD,LKK,BNT,MGO,SNGLS,MTL,ARK,1ST,CVC,ANT,SYS,FUN,BTCD,ETP,UBQ,SAFEX,BDL,PART,DCT,NXS,BLOCK,PPC,LEO,XVG,XEL,XAS,EMC,WINGS,EDG,PPY,ROUND,STX,DICE,MLN,NMR,RDD,LBC,RLC,VSL,MYST,PLR,VIA,NLG,STORJ,NMC,XCP,FAIR,XAUR,ION,UNITY,HMQ,CLOAK,MONA
